Region label,Unit of measure,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Commodity
Western Australia,hectares,1500,2300,4700,2800,4100,4500,2000,3200,3700,4300,3200,3700,3500,4700,5400,5600,4900,5800,9600,7000,5900,5600,9900,10800,12800,16200,18200,30300,33500,26600,27700,20000,24800,30800,26900,26500,25600,26000,27500,23900,22900,43300,84700,105100,136400,139000,124400,130100,170500,218800,198500,157900,120600,122500,167200,151000,168300,223700,364300,632100,911300,744100,509800,387000,419000,452300,613600,616300,522900,534800,579600,603300,771000,964700,825700,468400,460800,383500,421400,497700,554500,611100,799300,579100,744500,909300,1036000,811400,550100,982900,1087500,1140100,1278000,1313400,1129000,1083000,1380900,1558800,1419800,1101100,1246313,1215047,1257903,1308458,1383931,1693705,1531074,1897361,1906858,1844270,1884241,Barley
0,tonnes,800,2100,3800,500,3000,3000,800,1800,2600,2500,1900,2400,2200,4000,3600,2900,2900,4300,5900,4200,3700,3100,7400,5400,9500,10200,13300,21500,22100,16500,21800,12100,16400,20100,15100,11800,16900,22300,22000,21000,15800,39600,62000,63700,105600,85100,80700,122800,160700,192900,165300,137500,92500,84000,147100,152300,159500,208500,273500,769300,1000400,640400,626200,329100,505000,553100,751300,778400,631600,504000,576500,716900,797200,1431200,1024300,601400,617100,552400,628000,742200,899600,1060900,1381400,914900,1322800,1635300,1926300,1468600,1117300,1358400,2262800,1349000,3169900,2489200,2399800,1808400,2719400,3007400,2553700,1548600,2761114,2251680,3555662,3192452,3247933,4119831,3774555,4798004,3996150,4611219,5758301,Barley
Tasmania,hectares,2500,3600,3100,2400,2200,1900,2100,2800,2500,2500,2900,2300,1700,1200,2100,2300,2100,1900,2800,2500,3400,3500,3200,2300,2100,2800,3800,3500,3100,2300,2200,1100,1400,2200,2700,2500,3300,3000,1800,1300,1700,3300,3800,2900,2600,2900,3400,3800,5000,6200,7600,8000,5600,6300,8100,8500,9700,10600,12000,12900,12600,12800,11100,12000,11500,11600,11400,11900,10600,10100,12100,12400,15100,12400,12200,8500,8000,7800,8000,9800,11300,12300,15200,14000,14000,14500,13200,11200,9100,9700,7400,8300,9300,7600,8500,7500,7800,10600,8800,10900,6466,5093,5966,5237,5573,8118,4552,6102,5123,5423,4297,Barley
0,tonnes,3400,6000,4300,2400,2600,2000,2200,3200,2700,3700,3800,3500,2200,1200,2100,3400,3200,2300,3800,3800,2700,4800,3900,4000,2100,5500,7000,4700,4400,3300,2700,1400,2200,3600,2800,3500,5000,4700,3000,2100,3400,4900,6700,4500,4300,5300,6100,6700,9500,7800,13800,14300,9400,12000,15500,17500,20100,20100,24900,29800,27800,18700,23800,27300,18400,24600,19400,27000,17300,18300,23300,21900,34100,29700,27700,20700,21500,22000,19300,26000,31800,35300,40800,27100,38500,35200,30900,30000,22200,26000,26400,21200,28000,27800,28200,16200,22000,28500,28800,39100,23115,16513,25375,16942,16453,33430,16319,27540,22906,30840,23951,Barley
Northern Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,311,0,0,0,0,255,0,Barley
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,0,0,0,0,305,0,Barley
Australian Capital Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,102,100,0,2,7,10,0,0,0,0,Barley
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,0,6,20,26,0,0,0,0,Barley
Australia,hectares,123000,143000,142100,125300,144800,139100,128000,98100,111600,122700,129100,115000,172100,131100,113500,154800,145200,119200,120600,108800,89100,120100,120400,118000,130100,125700,133300,128500,137700,134400,121700,114700,108500,95200,97400,99500,78000,80900,77100,68000,67400,73100,72400,66000,74800,72100,70900,79300,75900,84200,86600,87700,87600,79800,78800,80200,69900,66500,79300,85600,78200,59300,45600,51400,46700,53000,45200,49900,53900,56200,60800,64300,68400,102900,84200,57700,55600,51700,52300,48500,51800,44900,43800,50200,56300,66700,57400,64500,82300,74200,82600,49600,70100,72400,67200,48900,0,64600,0,62200,69684,78634,52360,59558,53281,67771,52783,58949,37730,45742,0,Maize
0,tonnes,198800,247500,241700,157400,197900,246300,222500,117700,176400,207000,206900,157300,340900,215500,170300,279100,249600,192100,206700,183900,125400,181100,201200,189500,180700,170800,201200,169300,194600,221900,184100,193000,172200,138800,147600,161300,130400,155700,143100,105100,107400,136100,129900,119500,140000,131800,155800,180900,165400,182000,194000,172500,182400,132100,169100,186000,153000,149100,191400,211600,213800,138800,105800,133300,131400,144100,129800,168500,150700,171700,211300,139100,238100,291400,277700,206400,208200,216700,218700,193700,268900,198800,204100,242400,311100,397700,271800,338200,406000,344900,453900,310000,395000,419700,362000,239900,0,375700,0,356900,450535,506725,390364,494589,400032,436194,387240,327206,267552,305656,0,Maize
New South Wales,hectares,67900,71400,63500,58100,62400,62900,59000,46400,55200,58300,59400,55900,67600,59300,48900,52000,60200,43200,43800,42500,42900,45900,47400,46800,48500,47100,50600,49500,46900,57500,47500,41900,41800,38100,37400,44500,35200,31500,29500,21300,21900,24500,23700,20500,22500,21500,23300,25200,20900,19900,20800,18800,18100,16900,17000,19800,20900,22000,32700,33300,33200,23900,18000,22200,17400,19700,16000,15200,12100,13000,12800,12100,11300,19300,18200,16200,14700,13700,16700,17800,16800,15600,14200,20500,23600,30700,22400,26500,22100,26400,28300,20500,21800,25500,30600,20400,0,14400,0,23200,21085,34081,22171,23438,17394,22655,20163,21326,9751,20656,0,Maize
0,tonnes,114500,129900,113100,80600,95900,110100,88900,53100,102900,106100,101000,83500,117400,106900,83300,91400,99800,63700,77100,70300,67800,74600,79600,82300,84500,83900,86400,73800,72000,102700,79800,71500,70300,61900,65000,63700,59900,62900,61200,38400,35800,53700,44100,44900,47400,49400,56800,72600,63100,56600,59700,54500,53100,47700,40800,62800,58900,78300,101700,106500,114400,67300,47900,59600,50600,65400,48400,55400,49900,45500,58500,47700,55600,74200,90100,77100,72100,78300,97600,90600,119100,107900,100000,145300,190000,255900,161200,186200,177800,177600,245800,163500,177500,242100,211900,143200,0,115100,0,171100,206850,261232,209303,245789,169800,202507,190204,147444,95173,180761,0,Maize
Victoria,hectares,7400,8100,7300,7900,9000,9300,8500,9100,9500,9800,9400,10500,11800,9400,8900,8100,7100,6500,7100,6600,6400,6600,7900,7600,8200,8100,8400,7500,7700,6200,3900,2900,2700,1800,2800,3300,3200,2600,2100,1700,1700,2100,2300,1800,1400,1100,1700,1600,1400,1200,1300,1500,1400,1000,700,600,400,500,500,500,400,500,700,500,500,400,500,500,600,600,500,600,900,1200,1100,600,1300,300,300,300,400,400,200,700,1100,1000,900,500,700,800,900,1400,600,1000,1900,300,0,400,0,1600,4180,3113,3425,4814,5369,7584,5101,7035,5145,4014,0,Maize
0,tonnes,20100,18200,20300,25900,25400,29800,29300,18100,22300,27100,24200,22400,37200,22700,19500,17400,19200,17300,13600,17600,15500,12100,16400,18300,16200,20200,19900,10600,9700,17900,7800,6900,3800,4200,7800,9100,8200,6600,4900,4700,4300,5200,7600,5800,4500,2100,6100,5200,4600,4300,4900,5500,5200,2900,2600,1800,800,1800,1800,1600,1900,1500,1900,1900,2500,1700,1800,2000,2900,3000,2400,2400,5000,6300,5000,3200,5500,1400,1000,2000,3000,2800,1700,5100,6800,6500,10200,2500,4000,7600,9100,15200,6600,2200,19200,2500,0,3000,0,11600,20880,28216,38061,58897,61202,68650,59766,66173,53626,41230,0,Maize
Queensland,hectares,47800,63400,71400,59300,73400,66800,60500,42600,46900,54600,60300,48600,92700,62400,55700,94700,77800,69500,69700,59800,39900,67600,65000,63700,73400,70500,74200,71600,83100,70600,70300,69900,64000,55200,57300,51700,39500,46800,45500,45000,43800,46400,46400,43800,50800,49500,45900,52500,53600,63000,64500,67400,68100,62000,61100,59800,48600,44000,46200,51700,44500,34900,27000,28700,28700,32900,28700,34100,41200,42600,47500,50900,55100,81200,63200,38300,36900,36500,34200,29300,33700,27200,27600,27200,31000,34200,33600,36700,59400,46600,53300,27600,47700,45600,34100,27200,0,49300,0,37000,42860,40209,26159,30720,30088,35312,25738,28281,16983,16600,0,Maize
0,tonnes,64100,99500,108200,50900,76700,106400,104300,46500,51100,73900,81700,51400,186200,86000,67500,170300,130500,111200,116000,96000,42000,94400,105200,89000,80000,66800,94800,85000,112900,101300,96500,114600,98000,72700,74800,88600,62300,86200,76900,62000,67300,77300,78200,68800,88100,80300,92800,103100,97700,121100,129400,112500,124100,81500,125700,121400,93200,68900,87900,103500,97500,70000,56000,71800,78300,77000,79600,111100,97900,123200,150400,87400,174800,206900,175800,118000,124200,132100,114600,94900,141200,74600,87100,79900,113600,129900,96900,144900,223600,159100,198400,130900,210600,173500,129100,92400,0,254900,0,171500,216916,213117,137245,182983,163901,146237,114642,88033,57715,65856,0,Maize
South Australia,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,851,171,0,0,92,45,0,0,0,2638,0,Maize
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,400,700,500,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1998,897,0,0,681,583,0,0,0,4487,0,Maize
Western Australia,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,400,200,800,1200,700,700,700,900,800,1700,1600,1600,500,600,400,500,0,300,0,0,100,200,500,700,0,300,0,200,308,1059,504,556,320,1710,1537,2174,4984,1808,0,Maize
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1800,1500,4800,5800,4800,4000,4800,5400,4900,12900,14600,11400,500,5100,3100,3600,400,300,0,400,300,1400,1700,1200,0,2100,0,1600,2292,3262,4923,6612,4180,16525,18389,25443,56038,13122,0,Maize
Tasmania,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,30,14,72,244,133,np,26,0,Maize
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,500,0,0,0,0,832,307,257,1147,4238,114,np,202,0,Maize
Northern Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,800,1000,800,1200,1800,700,500,200,200,200,100,200,100,100,100,200,100,100,100,0,0,0,20,200,0,0,0,0,400,0,0,0,4,394,0,0,np,0,0,Maize
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,900,2200,1200,1800,1200,800,600,700,700,600,700,600,200,200,300,700,200,400,600,100,0,0,75,400,0,0,0,0,1600,0,0,0,11,544,0,0,np,0,0,Maize
Australian Capital Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maize
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maize
Australia,hectares,249600,353800,347600,314500,292100,341600,249200,310900,432300,379200,296800,410500,435900,471500,410000,341600,454100,423100,613400,437900,439200,415700,556000,631800,632900,617000,569900,721900,680400,697100,590700,605600,572600,823200,788600,699000,851800,715900,707100,711000,956800,1118600,864700,1041700,1357100,1034300,1197300,1607900,1226100,1471600,1252800,1332000,1372300,1414700,1523400,1722600,1367600,1566400,1374000,1552900,1240500,994900,1182100,896400,1026000,995200,1076000,1359000,1123000,1092600,1388300,1211800,1771800,1040700,1068400,1140300,1275600,1309500,1088700,1043600,1160100,1149100,947400,896600,1136300,1051800,936700,908900,583600,650500,784100,911500,1089300,893600,930300,1002700,1237800,870300,850100,826000,731144,728575,714699,854417,821498,1027872,874136,938129,815954,1069891,842394,Oats
0,tonnes,173300,292100,276200,78700,299800,254100,188000,189300,227600,335900,220300,271700,313800,351600,221400,227900,219100,255800,261500,302000,275400,292900,306600,306300,339300,302000,311000,281800,458500,184700,404200,390200,320900,162500,467200,282100,737900,427600,496300,455400,625400,790600,597300,595000,1023700,641400,569400,1574700,848800,1379200,998900,1247100,1236400,1269200,1100100,1941000,717800,1709000,1246400,1612400,1275100,736400,1107300,874200,1196500,1071700,990500,1763200,1411000,1128300,1617100,848200,2295800,1367400,1329700,1583900,1698100,1838100,1640400,1529800,1689800,1936600,1646600,924100,1874900,1652900,1634400,1798300,1117800,1049800,1433700,957100,2018100,1282500,1688000,748300,1502300,1160000,1161600,1127700,1262032,1121135,1254659,1198006,1299680,2265503,1227387,1134619,1142934,1897990,1734874,Oats
New South Wales,hectares,28800,34500,41900,17600,23700,27200,33400,35000,30800,31400,28200,29900,35200,50000,40900,42500,46500,51300,73400,71500,61400,66300,82400,96100,113200,95400,103300,161700,164000,95900,123000,174500,151400,220300,249700,225800,246500,153100,151600,134400,241400,295400,205100,266000,365100,170200,289500,457400,229600,371300,288700,286500,321300,344000,417900,551400,367200,479500,365500,405300,261300,285200,405000,269900,289600,249600,288400,431500,348700,363300,555700,394400,812600,311700,429100,482300,525800,548000,365200,374300,456700,447700,369000,375500,505100,392700,324900,354000,159700,167900,230900,308300,449200,399900,416400,390100,464400,273400,306900,321200,236267,233775,267875,362158,277807,326981,365955,334466,264454,393583,248050,Oats
0,tonnes,21000,30400,33300,9300,24400,19700,26400,23100,10600,29800,21200,22700,28500,45600,29300,34500,30000,39600,45900,58800,45800,63800,57700,70000,85900,72000,61600,87700,125300,36200,74700,133100,127900,31900,181400,37100,248100,104900,127300,72500,170500,223600,154800,139100,300000,113800,71600,501500,201800,389500,240000,290900,359500,415200,228700,743900,149400,498100,349000,456000,221200,196500,327600,293100,349900,307100,241800,594300,460700,309900,741300,134900,1120400,401800,538300,635200,707400,779600,503500,538400,578800,761500,617800,197300,711200,607200,488200,669100,283700,245700,320400,149300,610200,429200,633000,114600,193200,260600,210900,468600,257557,275517,283326,350434,382563,495657,229353,126262,183159,644979,344449,Oats
Victoria,hectares,122300,177800,178900,177000,143200,178700,118700,138800,226400,179500,129000,199300,210700,209300,177100,122800,214200,140400,255000,150100,177900,149300,212900,205000,204600,154200,159600,266300,177900,226300,170800,173200,172500,292300,207000,183700,263100,218400,195500,213400,273800,306000,236000,260800,352500,247900,251800,392800,272400,337900,313400,377200,368300,391000,390800,436600,292600,401200,357600,399200,329500,254700,271200,197800,281700,241300,228400,290800,255700,218700,245100,212900,323700,228300,211500,214800,216200,188900,188600,177100,182800,222900,185800,147700,187000,174600,172300,188000,138300,139900,142000,188100,194300,149900,151300,176100,210500,190800,168400,165900,131097,117098,105717,133208,140440,161869,97126,134213,108271,131074,93372,Oats
