Region label,Unit of measure,Commodity,Year,Value
Western Australia,number,Total cattle,1995,1899100
Tasmania,number,Total cattle,1995,692700
Northern Territory,number,Total cattle,1995,1420900
Australian Capital Territory,number,Total cattle,1995,12800
New South Wales,number,Total cattle,1996,6390400
Victoria,number,Total cattle,1996,4395900
Queensland,number,Total cattle,1996,10214400
South Australia,number,Total cattle,1996,1218700
Western Australia,number,Total cattle,1996,1923700
Tasmania,number,Total cattle,1996,717600
Northern Territory,number,Total cattle,1996,1503100
Australian Capital Territory,number,Total cattle,1996,13700
New South Wales,number,Total cattle,1997,6510600
Victoria,number,Total cattle,1997,4410600
Queensland,number,Total cattle,1997,10415000
South Australia,number,Total cattle,1997,1181100
Western Australia,number,Total cattle,1997,1908700
Tasmania,number,Total cattle,1997,725200
Northern Territory,number,Total cattle,1997,1530200
Australian Capital Territory,number,Total cattle,1997,13300
New South Wales,number,Total cattle,1998,6351100
Victoria,number,Total cattle,1998,4141600
Queensland,number,Total cattle,1998,10867200
South Australia,number,Total cattle,1998,1213700
Western Australia,number,Total cattle,1998,1972500
Tasmania,number,Total cattle,1998,728100
Northern Territory,number,Total cattle,1998,1567200
Australian Capital Territory,number,Total cattle,1998,9900
New South Wales,number,Total cattle,1999,6290600
Victoria,number,Total cattle,1999,4125000
Queensland,number,Total cattle,1999,10747600
South Australia,number,Total cattle,1999,1182800
Western Australia,number,Total cattle,1999,1930800
Tasmania,number,Total cattle,1999,724400
Northern Territory,number,Total cattle,1999,1567000
Australian Capital Territory,number,Total cattle,1999,9700
New South Wales,number,Total cattle,2000,5970200
Victoria,number,Total cattle,2000,4263700
Queensland,number,Total cattle,2000,11807700
South Australia,number,Total cattle,2000,1183800
Western Australia,number,Total cattle,2000,2164600
Tasmania,number,Total cattle,2000,616600
Northern Territory,number,Total cattle,2000,1570200
Australian Capital Territory,number,Total cattle,2000,10200
New South Wales,number,Total cattle,2001,6214500
Victoria,number,Total cattle,2001,4405400
Queensland,number,Total cattle,2001,11375800
South Australia,number,Total cattle,2001,1241800
Western Australia,number,Total cattle,2001,2127800
Tasmania,number,Total cattle,2001,636300
Northern Territory,number,Total cattle,2001,0
Australian Capital Territory,number,Total cattle,2001,0
New South Wales,number,Total cattle,2002,6020800
Victoria,number,Total cattle,2002,4412500
Queensland,number,Total cattle,2002,11544000
South Australia,number,Total cattle,2002,1380900
Western Australia,number,Total cattle,2002,2103600
Tasmania,number,Total cattle,2002,618800
Northern Territory,number,Total cattle,2002,0
Australian Capital Territory,number,Total cattle,2002,0
New South Wales,number,Total cattle,2003,5817100
Victoria,number,Total cattle,2003,4387600
Queensland,number,Total cattle,2003,10739900
South Australia,number,Total cattle,2003,1400700
Western Australia,number,Total cattle,2003,1945200
Tasmania,number,Total cattle,2003,681500
Northern Territory,number,Total cattle,2003,0
Australian Capital Territory,number,Total cattle,2003,0
New South Wales,number,Total cattle,2004,5815600
Victoria,number,Total cattle,2004,4280600
Queensland,number,Total cattle,2004,11499700
South Australia,number,Total cattle,2004,1352400
Western Australia,number,Total cattle,2004,2095100
Tasmania,number,Total cattle,2004,684100
Northern Territory,number,Total cattle,2004,np
Australian Capital Territory,number,Total cattle,2004,7600
New South Wales,number,Total cattle,2005,5734300
Victoria,number,Total cattle,2005,4509200
Queensland,number,Total cattle,2005,11600200
South Australia,number,Total cattle,2005,1383700
Western Australia,number,Total cattle,2005,2127000
Tasmania,number,Total cattle,2005,689000
Northern Territory,number,Total cattle,2005,np
Australian Capital Territory,number,Total cattle,2005,9300
New South Wales,number,Total cattle,2006,6211200
Victoria,number,Total cattle,2006,4403200
Queensland,number,Total cattle,2006,11547500
South Australia,number,Total cattle,2006,1329100
Western Australia,number,Total cattle,2006,2390900
Tasmania,number,Total cattle,2006,704000
Northern Territory,number,Total cattle,2006,1798200
Australian Capital Territory,number,Total cattle,2006,9200
New South Wales,number,Total cattle,2007,5934700
Victoria,number,Total cattle,2007,4243000
Queensland,number,Total cattle,2007,11683600
South Australia,number,Total cattle,2007,1242400
Western Australia,number,Total cattle,2007,2327300
Tasmania,number,Total cattle,2007,682400
Northern Territory,number,Total cattle,2007,1912200
Australian Capital Territory,number,Total cattle,2007,11000
New South Wales,number,Total cattle,2008,5650900
Victoria,number,Total cattle,2008,3837400
Queensland,number,Total cattle,2008,11904600
South Australia,number,Total cattle,2008,1126000
Western Australia,number,Total cattle,2008,2113400
Tasmania,number,Total cattle,2008,641700
Northern Territory,number,Total cattle,2008,2040800
Australian Capital Territory,number,Total cattle,2008,6000
New South Wales,number,Total cattle,2009,5856300
Victoria,number,Total cattle,2009,3853500
Queensland,number,Total cattle,2009,12332400
South Australia,number,Total cattle,2009,1207100
Western Australia,number,Total cattle,2009,2318300
Tasmania,number,Total cattle,2009,651600
Northern Territory,number,Total cattle,2009,1680500
Australian Capital Territory,number,Total cattle,2009,7000
New South Wales,number,Total cattle,2010,5455400
Victoria,number,Total cattle,2010,3668200
Queensland,number,Total cattle,2010,11355500
South Australia,number,Total cattle,2010,1042400
Western Australia,number,Total cattle,2010,2319200
Tasmania,number,Total cattle,2010,637400
Northern Territory,number,Total cattle,2010,2065700
Australian Capital Territory,number,Total cattle,2010,6300
New South Wales,number,Total cattle,2011,5709800
Victoria,number,Total cattle,2011,3969900
Queensland,number,Total cattle,2011,12611900
South Australia,number,Total cattle,2011,1252200
Western Australia,number,Total cattle,2011,2067100
Tasmania,number,Total cattle,2011,689200
Northern Territory,number,Total cattle,2011,2197400
Australian Capital Territory,number,Total cattle,2011,8800
New South Wales,number,Total cattle,2012,5837691
Victoria,number,Total cattle,2012,4113755
Queensland,number,Total cattle,2012,12160877
South Australia,number,Total cattle,2012,1331247
Western Australia,number,Total cattle,2012,2067623
Tasmania,number,Total cattle,2012,703967
Northern Territory,number,Total cattle,2012,2195245
Australian Capital Territory,number,Total cattle,2012,8018
New South Wales,number,Total cattle,2013,5953222
Victoria,number,Total cattle,2013,4228971
Queensland,number,Total cattle,2013,12798010
South Australia,number,Total cattle,2013,1326844
Western Australia,number,Total cattle,2013,2004424
Tasmania,number,Total cattle,2013,769875
Northern Territory,number,Total cattle,2013,2199864
Australian Capital Territory,number,Total cattle,2013,9560
New South Wales,number,Total cattle,2014,5662941
Victoria,number,Total cattle,2014,4217692
Queensland,number,Total cattle,2014,12931794
South Australia,number,Total cattle,2014,1245284
Western Australia,number,Total cattle,2014,2109223
Tasmania,number,Total cattle,2014,765656
Northern Territory,number,Total cattle,2014,2164332
Australian Capital Territory,number,Total cattle,2014,6033
New South Wales,number,Total cattle,2015,5591797
Victoria,number,Total cattle,2015,4128535
Queensland,number,Total cattle,2015,11347001
South Australia,number,Total cattle,2015,1142098
Western Australia,number,Total cattle,2015,2366728
Tasmania,number,Total cattle,2015,715777
Northern Territory,number,Total cattle,2015,2114568
Australian Capital Territory,number,Total cattle,2015,6367
New South Wales,number,Total cattle,2016,4997700
Victoria,number,Total cattle,2016,3483990
Queensland,number,Total cattle,2016,10544965
South Australia,number,Total cattle,2016,1048606
Western Australia,number,Total cattle,2016,2003253
Tasmania,number,Total cattle,2016,648486
Northern Territory,number,Total cattle,2016,2238375
Australian Capital Territory,number,Total cattle,2016,5974
New South Wales,number,Total cattle,2017,5287166
Victoria,number,Total cattle,2017,3609826
Queensland,number,Total cattle,2017,11143514
South Australia,number,Total cattle,2017,1083067
Western Australia,number,Total cattle,2017,2127743
Tasmania,number,Total cattle,2017,730228
Northern Territory,number,Total cattle,2017,2188589
Australian Capital Territory,number,Total cattle,2017,5389
New South Wales,number,Total cattle,2018,4727055
Victoria,number,Total cattle,2018,3763960
Queensland,number,Total cattle,2018,12050983
South Australia,number,Total cattle,2018,1027258
Western Australia,number,Total cattle,2018,2015183
Tasmania,number,Total cattle,2018,686255
Northern Territory,number,Total cattle,2018,2119265
Australian Capital Territory,number,Total cattle,2018,5775
New South Wales,number,Total cattle,2019,4043055
Victoria,number,Total cattle,2019,3603194
Queensland,number,Total cattle,2019,11295125
South Australia,number,Total cattle,2019,981032
Western Australia,number,Total cattle,2019,1989025
Tasmania,number,Total cattle,2019,662088
Northern Territory,number,Total cattle,2019,2146938
Australian Capital Territory,number,Total cattle,2019,3001
New South Wales,number,Total cattle,2020,3857038
Victoria,number,Total cattle,2020,3514368
Queensland,number,Total cattle,2020,10499555
South Australia,number,Total cattle,2020,1023836
Western Australia,number,Total cattle,2020,2031861
Tasmania,number,Total cattle,2020,775363
Northern Territory,number,Total cattle,2020,1798845
Australian Capital Territory,number,Total cattle,2020,2371
New South Wales,number,Total cattle,2021,4430254
Victoria,number,Total cattle,2021,3576654
Queensland,number,Total cattle,2021,10728619
South Australia,number,Total cattle,2021,1047765
Western Australia,number,Total cattle,2021,2132146
Tasmania,number,Total cattle,2021,780073
Northern Territory,number,Total cattle,2021,1731707
Australian Capital Territory,number,Total cattle,2021,3957
New South Wales,number,Total cattle,2022,4654901
Victoria,number,Total cattle,2022,3475078
Queensland,number,Total cattle,2022,10879265
South Australia,number,Total cattle,2022,1052173
Western Australia,number,Total cattle,2022,2000114
Tasmania,number,Total cattle,2022,744893
Northern Territory,number,Total cattle,2022,1587490
Australian Capital Territory,number,Total cattle,2022,4912
