Region label,Unit of measure,Commodity,Year,Value
Northern Territory,number,Total cattle,1928,768751
Australian Capital Territory,number,Total cattle,1928,5269
New South Wales,number,Total cattle,1929,2686132
Victoria,number,Total cattle,1929,1335242
Queensland,number,Total cattle,1929,5208588
South Australia,number,Total cattle,1929,204516
Western Australia,number,Total cattle,1929,836646
Tasmania,number,Total cattle,1929,214643
Northern Territory,number,Total cattle,1929,711607
Australian Capital Territory,number,Total cattle,1929,4760
New South Wales,number,Total cattle,1930,2840473
Victoria,number,Total cattle,1930,1429920
Queensland,number,Total cattle,1930,5463724
South Australia,number,Total cattle,1930,218985
Western Australia,number,Total cattle,1930,812844
Tasmania,number,Total cattle,1930,230254
Northern Territory,number,Total cattle,1930,720476
Australian Capital Territory,number,Total cattle,1930,4240
New South Wales,number,Total cattle,1931,2993586
Victoria,number,Total cattle,1931,1637530
Queensland,number,Total cattle,1931,5550399
South Australia,number,Total cattle,1931,265324
Western Australia,number,Total cattle,1931,826532
Tasmania,number,Total cattle,1931,232444
Northern Territory,number,Total cattle,1931,749745
Australian Capital Territory,number,Total cattle,1931,5395
New South Wales,number,Total cattle,1932,3141174
Victoria,number,Total cattle,1932,1900922
Queensland,number,Total cattle,1932,5535065
South Australia,number,Total cattle,1932,312932
Western Australia,number,Total cattle,1932,857473
Tasmania,number,Total cattle,1932,250807
Northern Territory,number,Total cattle,1932,780121
Australian Capital Territory,number,Total cattle,1932,4643
New South Wales,number,Total cattle,1933,3361771
Victoria,number,Total cattle,1933,2002235
Queensland,number,Total cattle,1933,5781170
South Australia,number,Total cattle,1933,352728
Western Australia,number,Total cattle,1933,885669
Tasmania,number,Total cattle,1933,262256
Northern Territory,number,Total cattle,1933,859867
Australian Capital Territory,number,Total cattle,1933,6790
New South Wales,number,Total cattle,1934,3482831
Victoria,number,Total cattle,1934,2085080
Queensland,number,Total cattle,1934,6052641
South Australia,number,Total cattle,1934,346479
Western Australia,number,Total cattle,1934,911940
Tasmania,number,Total cattle,1934,261588
Northern Territory,number,Total cattle,1934,899679
Australian Capital Territory,number,Total cattle,1934,8433
New South Wales,number,Total cattle,1935,3388538
Victoria,number,Total cattle,1935,2091246
Queensland,number,Total cattle,1935,6033004
South Australia,number,Total cattle,1935,335354
Western Australia,number,Total cattle,1935,882761
Tasmania,number,Total cattle,1935,270035
Northern Territory,number,Total cattle,1935,900535
Australian Capital Territory,number,Total cattle,1935,10186
New South Wales,number,Total cattle,1936,3288169
Victoria,number,Total cattle,1936,2004959
Queensland,number,Total cattle,1936,5950572
South Australia,number,Total cattle,1936,328013
Western Australia,number,Total cattle,1936,792508
Tasmania,number,Total cattle,1936,261597
Northern Territory,number,Total cattle,1936,855398
Australian Capital Territory,number,Total cattle,1936,9856
New South Wales,number,Total cattle,1937,3019581
Victoria,number,Total cattle,1937,1880429
Queensland,number,Total cattle,1937,5959165
South Australia,number,Total cattle,1937,324163
Western Australia,number,Total cattle,1937,740241
Tasmania,number,Total cattle,1937,254812
Northern Territory,number,Total cattle,1937,891640
Australian Capital Territory,number,Total cattle,1937,8325
New South Wales,number,Total cattle,1938,2811884
Victoria,number,Total cattle,1938,1697295
Queensland,number,Total cattle,1938,6097089
South Australia,number,Total cattle,1938,318897
Western Australia,number,Total cattle,1938,767680
Tasmania,number,Total cattle,1938,262407
Northern Territory,number,Total cattle,1938,899472
Australian Capital Territory,number,Total cattle,1938,7057
New South Wales,number,Total cattle,1939,2811884
Victoria,number,Total cattle,1939,1697295
Queensland,number,Total cattle,1939,6097089
South Australia,number,Total cattle,1939,318897
Western Australia,number,Total cattle,1939,767680
Tasmania,number,Total cattle,1939,262407
Northern Territory,number,Total cattle,1939,899472
Australian Capital Territory,number,Total cattle,1939,7057
New South Wales,number,Total cattle,1940,2762653
Victoria,number,Total cattle,1940,1787597
Queensland,number,Total cattle,1940,6198798
South Australia,number,Total cattle,1940,351013
Western Australia,number,Total cattle,1940,799175
Tasmania,number,Total cattle,1940,252484
Northern Territory,number,Total cattle,1940,922581
Australian Capital Territory,number,Total cattle,1940,5879
New South Wales,number,Total cattle,1941,2769061
Victoria,number,Total cattle,1941,1922336
Queensland,number,Total cattle,1941,6210810
South Australia,number,Total cattle,1941,376654
Western Australia,number,Total cattle,1941,788928
Tasmania,number,Total cattle,1941,259108
Northern Territory,number,Total cattle,1941,922308
Australian Capital Territory,number,Total cattle,1941,6636
New South Wales,number,Total cattle,1942,2878450
Victoria,number,Total cattle,1942,1986544
Queensland,number,Total cattle,1942,6303467
South Australia,number,Total cattle,1942,399143
Western Australia,number,Total cattle,1942,839731
Tasmania,number,Total cattle,1942,253106
Northern Territory,number,Total cattle,1942,892881
Australian Capital Territory,number,Total cattle,1942,7432
New South Wales,number,Total cattle,1943,3030546
Victoria,number,Total cattle,1943,2022892
Queensland,number,Total cattle,1943,6466316
South Australia,number,Total cattle,1943,424253
Western Australia,number,Total cattle,1943,831231
Tasmania,number,Total cattle,1943,244681
Northern Territory,number,Total cattle,1943,978434
Australian Capital Territory,number,Total cattle,1943,6967
New South Wales,number,Total cattle,1944,3143378
Victoria,number,Total cattle,1944,2013033
Queensland,number,Total cattle,1944,6524553
South Australia,number,Total cattle,1944,414997
Western Australia,number,Total cattle,1944,870939
Tasmania,number,Total cattle,1944,230127
Northern Territory,number,Total cattle,1944,978569
Australian Capital Territory,number,Total cattle,1944,8083
New South Wales,number,Total cattle,1945,3144701
Victoria,number,Total cattle,1945,1903110
Queensland,number,Total cattle,1945,6623112
South Australia,number,Total cattle,1945,391323
Western Australia,number,Total cattle,1945,852563
Tasmania,number,Total cattle,1945,224668
Northern Territory,number,Total cattle,1945,984370
Australian Capital Territory,number,Total cattle,1945,9320
New South Wales,number,Total cattle,1946,3116834
Victoria,number,Total cattle,1946,1827087
Queensland,number,Total cattle,1946,6542210
South Australia,number,Total cattle,1946,374096
Western Australia,number,Total cattle,1946,833567
Tasmania,number,Total cattle,1946,216306
Northern Territory,number,Total cattle,1946,960039
Australian Capital Territory,number,Total cattle,1946,7867
New South Wales,number,Total cattle,1947,2983093
Victoria,number,Total cattle,1947,2060061
Queensland,number,Total cattle,1947,5945285
South Australia,number,Total cattle,1947,423980
Western Australia,number,Total cattle,1947,811949
Tasmania,number,Total cattle,1947,220119
Northern Territory,number,Total cattle,1947,972990
Australian Capital Territory,number,Total cattle,1947,9169
New South Wales,number,Total cattle,1948,3129700
Victoria,number,Total cattle,1948,2174200
Queensland,number,Total cattle,1948,5975500
South Australia,number,Total cattle,1948,445300
Western Australia,number,Total cattle,1948,815600
Tasmania,number,Total cattle,1948,244100
Northern Territory,number,Total cattle,1948,991429
Australian Capital Territory,number,Total cattle,1948,8748
New South Wales,number,Total cattle,1949,3252800
Victoria,number,Total cattle,1949,2224500
Queensland,number,Total cattle,1949,5991800
South Australia,number,Total cattle,1949,461100
Western Australia,number,Total cattle,1949,864100
Tasmania,number,Total cattle,1949,266400
Northern Territory,number,Total cattle,1949,1052811
Australian Capital Territory,number,Total cattle,1949,10071
New South Wales,number,Total cattle,1950,3440500
Victoria,number,Total cattle,1950,2230900
Queensland,number,Total cattle,1950,6304800
South Australia,number,Total cattle,1950,464100
Western Australia,number,Total cattle,1950,864900
Tasmania,number,Total cattle,1950,274700
Northern Territory,number,Total cattle,1950,1049000
Australian Capital Territory,number,Total cattle,1950,11000
