Region label,Unit of measure,Commodity,Year,Value
Victoria,tonnes,Maize,1913,18200
Queensland,hectares,Maize,1913,63400
Queensland,tonnes,Maize,1913,99500
South Australia,hectares,Maize,1913,0
South Australia,tonnes,Maize,1913,0
Western Australia,hectares,Maize,1913,0
Western Australia,tonnes,Maize,1913,0
Tasmania,hectares,Maize,1913,0
Tasmania,tonnes,Maize,1913,0
Northern Territory,hectares,Maize,1913,0
Northern Territory,tonnes,Maize,1913,0
Australian Capital Territory,hectares,Maize,1913,0
Australian Capital Territory,tonnes,Maize,1913,0
Australia,hectares,Oats,1913,353800
Australia,tonnes,Oats,1913,292100
New South Wales,hectares,Oats,1913,34500
New South Wales,tonnes,Oats,1913,30400
Victoria,hectares,Oats,1913,177800
Victoria,tonnes,Oats,1913,151000
Queensland,hectares,Oats,1913,1700
Queensland,tonnes,Oats,1913,1500
South Australia,hectares,Oats,1913,62900
South Australia,tonnes,Oats,1913,30300
Western Australia,hectares,Oats,1913,51700
Western Australia,tonnes,Oats,1913,38100
Tasmania,hectares,Oats,1913,25300
Tasmania,tonnes,Oats,1913,40900
Northern Territory,hectares,Oats,1913,0
Northern Territory,tonnes,Oats,1913,0
Australian Capital Territory,hectares,Oats,1913,0
Australian Capital Territory,tonnes,Oats,1913,0
Australia,hectares,Wheat,1913,2970300
Australia,tonnes,Wheat,1913,2502800
New South Wales,hectares,Wheat,1913,903100
New South Wales,tonnes,Wheat,1913,884200
Victoria,hectares,Wheat,1913,843900
Victoria,tonnes,Wheat,1913,713700
Queensland,hectares,Wheat,1913,50600
Queensland,tonnes,Wheat,1913,53700
South Australia,hectares,Wheat,1913,841600
South Australia,tonnes,Wheat,1913,584700
Western Australia,hectares,Wheat,1913,321000
Western Australia,tonnes,Wheat,1913,249400
Tasmania,hectares,Wheat,1913,10200
Tasmania,tonnes,Wheat,1913,17100
Northern Territory,hectares,Wheat,1913,0
Northern Territory,tonnes,Wheat,1913,0
Australian Capital Territory,hectares,Wheat,1913,0
Australian Capital Territory,tonnes,Wheat,1913,0
Australia,hectares,Potatoes,1913,52200
Australia,tonnes,Potatoes,1913,425000
New South Wales,hectares,Potatoes,1913,13800
New South Wales,tonnes,Potatoes,1913,93100
Victoria,hectares,Potatoes,1913,19300
Victoria,tonnes,Potatoes,1913,194200
Queensland,hectares,Potatoes,1913,3600
Queensland,tonnes,Potatoes,1913,16600
South Australia,hectares,Potatoes,1913,3500
South Australia,tonnes,Potatoes,1913,33600
Western Australia,hectares,Potatoes,1913,2100
Western Australia,tonnes,Potatoes,1913,13800
Tasmania,hectares,Potatoes,1913,10000
Tasmania,tonnes,Potatoes,1913,73700
Northern Territory,hectares,Potatoes,1913,0
Northern Territory,tonnes,Potatoes,1913,0
Australian Capital Territory,hectares,Potatoes,1913,0
Australian Capital Territory,tonnes,Potatoes,1913,0
Australia,number,Total cattle,1913,11483882
New South Wales,number,Total cattle,1913,2815113
Victoria,number,Total cattle,1913,1528553
Queensland,number,Total cattle,1913,5322033
South Australia,number,Total cattle,1913,352905
Western Australia,number,Total cattle,1913,834265
Tasmania,number,Total cattle,1913,205743
Northern Territory,number,Total cattle,1913,417643
Australian Capital Territory,number,Total cattle,1913,7627
Australia,hectares,Barley,1914,90100
Australia,tonnes,Barley,1914,89000
New South Wales,hectares,Barley,1914,8300
New South Wales,tonnes,Barley,1914,6900
Victoria,hectares,Barley,1914,33700
Victoria,tonnes,Barley,1914,41100
Queensland,hectares,Barley,1914,3600
Queensland,tonnes,Barley,1914,2600
South Australia,hectares,Barley,1914,36600
South Australia,tonnes,Barley,1914,30300
Western Australia,hectares,Barley,1914,4700
Western Australia,tonnes,Barley,1914,3800
Tasmania,hectares,Barley,1914,3100
Tasmania,tonnes,Barley,1914,4300
Northern Territory,hectares,Barley,1914,0
Northern Territory,tonnes,Barley,1914,0
Australian Capital Territory,hectares,Barley,1914,0
Australian Capital Territory,tonnes,Barley,1914,0
Australia,hectares,Maize,1914,142100
Australia,tonnes,Maize,1914,241700
New South Wales,hectares,Maize,1914,63500
New South Wales,tonnes,Maize,1914,113100
Victoria,hectares,Maize,1914,7300
Victoria,tonnes,Maize,1914,20300
Queensland,hectares,Maize,1914,71400
Queensland,tonnes,Maize,1914,108200
South Australia,hectares,Maize,1914,0
South Australia,tonnes,Maize,1914,0
Western Australia,hectares,Maize,1914,0
Western Australia,tonnes,Maize,1914,0
Tasmania,hectares,Maize,1914,0
Tasmania,tonnes,Maize,1914,0
Northern Territory,hectares,Maize,1914,0
Northern Territory,tonnes,Maize,1914,0
Australian Capital Territory,hectares,Maize,1914,0
Australian Capital Territory,tonnes,Maize,1914,0
Australia,hectares,Oats,1914,347600
Australia,tonnes,Oats,1914,276200
New South Wales,hectares,Oats,1914,41900
New South Wales,tonnes,Oats,1914,33300
Victoria,hectares,Oats,1914,178900
Victoria,tonnes,Oats,1914,161300
Queensland,hectares,Oats,1914,1700
Queensland,tonnes,Oats,1914,1000
South Australia,hectares,Oats,1914,47300
South Australia,tonnes,Oats,1914,21700
Western Australia,hectares,Oats,1914,54100
Western Australia,tonnes,Oats,1914,30000
Tasmania,hectares,Oats,1914,23800
Tasmania,tonnes,Oats,1914,28800
Northern Territory,hectares,Oats,1914,0
Northern Territory,tonnes,Oats,1914,0
Australian Capital Territory,hectares,Oats,1914,0
Australian Capital Territory,tonnes,Oats,1914,0
Australia,hectares,Wheat,1914,3758500
Australia,tonnes,Wheat,1914,2812100
New South Wales,hectares,Wheat,1914,1297200
New South Wales,tonnes,Wheat,1914,1034700
Victoria,hectares,Wheat,1914,1038400
Victoria,tonnes,Wheat,1914,896400
