Region label,Unit of measure,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,number,11577259,11483882,11051573,9931416,10459237,11829135,12738852,12711067,13499737,14441309,14336673,13357508,13309473,13279785,11963278,11616056,11300757,11202134,11720916,12260955,12783137,13512486,14048671,13911659,13491072,13078356,12861781,12861781,13080180,13255841,13560754,14005320,14183679,14133167,13878006,13426646,13784584,14123610,14640000,15229000,14893000,15247000,15601000,15836000,16457000,17257000,16892000,16257000,16503000,17332000,18033000,18549000,19055000,18815500,17935900,18269900,19218900,20606300,22161500,24371900,27372100,29101000,30838700,32793000,33433600,31533000,29330000,27112000,26203000,25168000,24490000,22475300,22161300,22783000,23436100,21914700,21850800,22434300,23190600,23662300,23880000,24061800,25781700,25731200,26377300,26694600,26851500,26577900,27587000,27721700,27870000,26664100,27464800,27781500,28393400,28036600,27321000,27906800,26550100,28506200,28418422,29290769,29102954,27412872,24971349,26175521,26395734,24723458,23503238,24431174,24398826
New South Wales,number,3033726,2815113,2472631,2400104,2757713,3148309,3271782,3075954,3367880,3538240,3244905,2932437,2871196,2931818,2813144,2848654,2784615,2686132,2840473,2993586,3141174,3361771,3482831,3388538,3288169,3019581,2811884,2811884,2762653,2769061,2878450,3030546,3143378,3144701,3116834,2983093,3129700,3252800,3440500,3703000,3621000,3648700,3554000,3460700,3678600,3910800,3736300,3663500,3840600,4241900,4398700,4569100,4789000,4619100,4152900,4145700,4554500,4864400,5637000,6493800,7409500,7918400,8456400,8935100,9138000,8348500,7330000,6484000,6097000,5459000,5379000,5018000,5035500,5225500,5409300,4868000,4961800,5328600,5505700,5653400,5697200,5783100,6515100,6236400,6390400,6510600,6351100,6290600,5970200,6214500,6020800,5817100,5815600,5734300,6211200,5934700,5650900,5856300,5455400,5709800,5837691,5953222,5662941,5591797,4997700,5287166,4727055,4043055,3857038,4430254,4654901
Victoria,number,1508089,1528553,1362542,1043604,1175098,1371049,1596544,1631120,1575159,1750369,1785660,1591367,1605554,1513787,1435761,1327077,1304426,1335242,1429920,1637530,1900922,2002235,2085080,2091246,2004959,1880429,1697295,1697295,1787597,1922336,1986544,2022892,2013033,1903110,1827087,2060061,2174200,2224500,2230900,2216300,2215000,2297200,2370200,2456300,2616600,2765000,2749600,2651000,2624000,2863800,3155900,3225200,3300700,3316400,3397000,3528200,3474200,3877800,4462400,5060700,5456600,5464500,5839700,6192400,5868400,5104300,4572400,4134400,4252300,4313000,4137000,3408300,3487000,3575700,3719700,3478000,3473500,3508600,3645700,3631400,3574200,3689200,4188700,4279800,4395900,4410600,4141600,4125000,4263700,4405400,4412500,4387600,4280600,4509200,4403200,4243000,3837400,3853500,3668200,3969900,4113755,4228971,4217692,4128535,3483990,3609826,3763960,3603194,3514368,3576654,3475078
Queensland,number,5210891,5322033,5455943,4780893,4765657,5316558,5786744,5940433,6455067,7047370,6955463,6396514,6454653,6436645,5464845,5225804,5128341,5208588,5463724,5550399,5535065,5781170,6052641,6033004,5950572,5959165,6097089,6097089,6198798,6210810,6303467,6466316,6524553,6623112,6542210,5945285,5975500,5991800,6304800,6734000,6435000,6751400,7086200,7238100,7331000,7461700,7187200,6884200,7012000,7004100,7097900,7233600,7402300,7392500,6888000,6919000,7361000,7668000,7515000,7944000,9021000,9795000,10297000,10879000,11347000,11506400,11490200,10859500,10331700,9925000,9765000,9349500,9154400,9413200,9662000,9011500,8825200,8993800,9488900,9855500,10005300,9873000,9942400,9973600,10214400,10415000,10867200,10747600,11807700,11375800,11544000,10739900,11499700,11600200,11547500,11683600,11904600,12332400,11355500,12611900,12160877,12798010,12931794,11347001,10544965,11143514,12050983,11295125,10499555,10728619,10879265
South Australia,number,383418,352905,300579,226565,288887,313245,342768,349562,376399,419197,425811,413272,400423,373597,340007,316314,263016,204516,218985,265324,312932,352728,346479,335354,328013,324163,318897,318897,351013,376654,399143,424253,414997,391323,374096,423980,445300,461100,464100,432600,437500,482600,490900,523800,566100,621600,597200,576100,499700,560700,659500,678700,694300,696500,690000,687000,695200,865100,1026100,1196400,1495000,1583300,1691600,1868700,1891200,1607800,1242500,1085900,1067000,1091000,1010000,828300,812600,846400,914500,911700,947200,942500,969100,990100,1016500,1104200,1202200,1216000,1218700,1181100,1213700,1182800,1183800,1241800,1380900,1400700,1352400,1383700,1329100,1242400,1126000,1207100,1042400,1252200,1331247,1326844,1245284,1142098,1048606,1083067,1027258,981032,1023836,1047765,1052173
Western Australia,number,806294,834265,863835,821048,863930,927086,943847,880644,849803,893108,939596,953764,891564,835911,827303,846735,837527,836646,812844,826532,857473,885669,911940,882761,792508,740241,767680,767680,799175,788928,839731,831231,870939,852563,833567,811949,815600,864100,864900,841000,852000,846300,829700,860600,896900,957200,997000,1000000,1030000,1100000,1218000,1298000,1299000,1258000,1271000,1357000,1427000,1546000,1681000,1781000,1975000,2182000,2330000,2544000,2654000,2464000,2271000,2092000,2065000,2034000,1935000,1754200,1729500,1673500,1690100,1659500,1705200,1701700,1673000,1583800,1649100,1648200,1805500,1899100,1923700,1908700,1972500,1930800,2164600,2127800,2103600,1945200,2095100,2127000,2390900,2327300,2113400,2318300,2319200,2067100,2067623,2004424,2109223,2366728,2003253,2127743,2015183,1989025,2031861,2132146,2000114
Tasmania,number,222181,205743,176524,169575,179360,197938,218234,214442,208202,216704,218197,220351,225740,212373,213112,210894,208812,214643,230254,232444,250807,262256,261588,270035,261597,254812,262407,262407,252484,259108,253106,244681,230127,224668,216306,220119,244100,266400,274700,271900,265000,275100,295200,319400,332000,354000,371000,374000,375000,394000,425000,444000,450000,451000,492000,522000,564000,586000,646000,733000,829000,900000,884000,921000,909000,819000,733000,657000,649000,659000,628000,559200,542100,553600,570300,534800,542200,560400,569000,584300,592700,604700,678900,692700,717600,725200,728100,724400,616600,636300,618800,681500,684100,689000,704000,682400,641700,651600,637400,689200,703967,769875,765656,715777,648486,730228,686255,662088,775363,780073,744893
Northern Territory,number,405552,417643,414558,483961,420362,541545,570039,610534,659840,568031,760766,843718,855285,970342,863597,835390,768751,711607,720476,749745,780121,859867,899679,900535,855398,891640,899472,899472,922581,922308,892881,978434,978569,984370,960039,972990,991429,1052811,1049000,1019000,1058000,936000,966000,0,1028000,1176000,1244000,1099000,1111000,1154000,1064000,1087000,1105000,1068000,1032000,1097000,1130000,1185000,1179000,1145000,1166000,1237000,1321000,1434000,1603000,1664000,1674000,1785000,1727000,1675000,1622000,1547700,1390100,1484000,1457600,1439300,1384900,1388000,1327100,1352600,1334300,1347200,1435500,1420900,1503100,1530200,1567200,1567000,1570200,0,0,0,np,np,1798200,1912200,2040800,1680500,2065700,2197400,2195245,2199864,2164332,2114568,2238375,2188589,2119265,2146938,1798845,1731707,1587490
Australian Capital Territory,number,7108,7627,4961,5666,8230,13408,8894,8378,7387,8290,6275,6085,5058,5312,5509,6188,5269,4760,4240,5395,4643,6790,8433,10186,9856,8325,7057,7057,5879,6636,7432,6967,8083,9320,7867,9169,8748,10071,11000,11000,10000,10000,9000,0,9000,11000,10000,9000,11000,13000,14000,14000,15000,14000,13000,14000,13000,14000,15000,18000,20000,19000,19000,18800,23000,19000,16900,14200,14000,12000,14000,10200,9900,11100,12700,11800,10800,10600,12100,11200,10800,12200,13400,12800,13700,13300,9900,9700,10200,0,0,0,7600,9300,9200,11000,6000,7000,6300,8800,8018,9560,6033,6367,5974,5389,5775,3001,2371,3957,4912
